//ID	Name	Model	Propeller 1	Propeller 2	Propeller 3	Propeller 4	Price	Ship Durability Constant	Ship durability recovery constant	Ship defense constant	Ship Resist Constant	Ship Min Attack constant	Average ship maximum attack	Attack range constant	ReLoading time constant	Average Cannon Splash Area	Cargo Capacity Constant	Ship fuel constant	Ship fuel consumption constant	Cannon flight speed constant	Ship movement speed constant	Description (Item level)	Remark
98	Судовой лук 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	Судовой лук 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	Нос судна 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	Нос 9 Судна	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	Судно 10 нос	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	Мобильность низкоуровневой лодки 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	Мобильность низкоуровневой лодки 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	Мобильность низкоуровневой лодки 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	Мобильность низкоуровневой лодки 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	Мобильность низкоуровневой лодки 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	Мобильность низкоуровневой лодки 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	Мобильность низкоуровневой лодки 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	Мобильность низкоуровневой лодки 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	Подвижность судна 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	Двигатель 10 Судна	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	Усовершенствованный лук	0	0	0	0	0	2749	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
114	Лук наивысшего качества	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0
115	Сталкивающий лук	2000000001	0	0	0	0	3570	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
116	Лук 11	2000000001	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
117	Лук 12	2000000001	0	0	0	0	4901	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
118	Лук 13	2000010001	0	0	0	0	5280	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
119	Лук 14	2000010001	0	0	0	0	6095	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
120	Лук 15	2000010001	0	0	0	0	6990	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
121	Лук 16	2000020001	0	0	0	0	7470	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
122	Лук 17	2000020001	0	0	0	0	8493	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
123	Лук 18	2000020001	0	0	0	0	9607	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
124	Маленький лук	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
125	Средний лук	0	0	0	0	0	939	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
126	Большой лук	0	0	0	0	0	1201	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
127	Легкий военный	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
128	Средний флотский	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
129	Флотский 	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
130	Легкий корабельный	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
131	Средний галерный	0	0	0	0	0	2749	0	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0
132	Галерный	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0
133	Бритвенный 	2001000001	0	0	0	0	3570	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
134	Лук 29	2001000001	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
135	Лук 30	2001000001	0	0	0	0	4901	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
136	Лук 31	2001010001	0	0	0	0	5280	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
137	Лук 32	2001010001	0	0	0	0	6095	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
138	Лук 33	2001010001	0	0	0	0	6990	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
139	Одиночная треугольная загородка	2002000001	0	0	0	0	7470	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
140	Лук 35	2002000001	0	0	0	0	8493	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
141	Лук 36	2002000001	0	0	0	0	9607	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
142	Устройство 8	2000000002	22	0	0	0	5677	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0
143	Устройство 9	2000010002	23	24	25	26	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0
144	Двигатель 10	2000010002	23	24	25	26	7618	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0
145	Устройство 11	2000020002	27	28	0	0	9337	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0
146	Биопонтон 10	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
147	Био буй  - тип 20	0	0	0	0	0	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0
148	Скоростной парус	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
149	Тихоходный парусник	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0
150	Биоудар 100	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
151	Биомусор 110	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
152	Сдвоенная гидросистема	2001000002	29	30	31	0	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0
153	Устройство 19	2001000002	29	30	31	0	5677	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0
154	Двигатель 20	2001010002	32	33	34	35	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	565	0	0
155	Двигатель 21	2001010002	32	33	34	35	7618	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0
156	Грибной винт	2002000002	36	37	38	39	9337	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0
157	ОСМ Осколочная пушка 	0	0	0	0	0	1598	0	0	0	0	164	246	0	79	0	0	0	0	0	0	0	0
158	Сдвоенная пушка	0	0	0	0	0	2025	0	0	0	0	170	256	0	85	0	0	0	0	0	0	0	0
159	Счетверенная пушка	0	0	0	0	0	2265	0	0	0	0	183	275	0	88	0	0	0	0	0	0	0	0
160	Плавящая пушка	0	0	0	0	0	2802	0	0	0	0	196	294	0	94	0	0	0	0	0	0	0	0
161	Бронебойная пушка	0	0	0	0	0	3420	0	0	0	0	202	303	0	100	0	0	0	0	0	0	0	0
162	Эсминец	0	0	0	0	0	3760	0	0	0	0	215	322	0	103	0	0	0	0	0	0	0	0
163	Поглотитель	0	0	0	0	0	4510	0	0	0	0	227	341	0	109	0	0	0	0	0	0	0	0
164	ОСМ Осколочная пушка 	0	0	0	0	0	5355	0	0	0	0	233	349	0	115	0	0	0	0	0	0	0	0
165	Пушка 29	0	0	0	0	0	5814	0	0	0	0	246	369	0	118	0	0	0	0	0	0	0	0
166	Выстрел из пушки 30	0	0	0	0	0	6812	0	0	0	0	257	386	0	124	0	0	0	0	0	0	0	0
167	Пушка 31	0	0	0	0	0	7920	0	0	0	0	264	396	0	130	0	0	0	0	0	0	0	0
168	Пушка 32	0	0	0	0	0	8516	0	0	0	0	276	415	0	100	0	0	0	0	0	0	0	0
169	Пушка 33	0	0	0	0	0	9798	0	0	0	0	288	432	0	139	0	0	0	0	0	0	0	0
170	500-мм галерная пушка	0	0	0	0	0	11205	0	0	0	0	294	441	0	145	0	0	0	0	0	0	0	0
171	Пушка 35	0	0	0	0	0	11956	0	0	0	0	306	459	0	148	0	0	0	0	0	0	0	0
172	Пушка 36	0	0	0	0	0	13559	0	0	0	0	318	478	0	154	0	0	0	0	0	0	0	0
173	Деталь 21	0	0	0	0	0	7260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	Деталь 22	0	0	0	0	0	7806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	Деталь 23	0	0	0	0	0	8380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	Деталь 24	0	0	0	0	0	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	Деталь 25	0	0	0	0	0	9612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	Деталь 26	0	0	0	0	0	10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	Деталь 27	0	0	0	0	0	10959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	Деталь 28	0	0	0	0	0	11679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	Деталь 29	0	0	0	0	0	12429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	Деталь 30	0	0	0	0	0	13210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	Деталь 31	0	0	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	Деталь 32	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	Деталь 33	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
186	Деталь 34	0	0	0	0	0	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187	Деталь 35	0	0	0	0	0	1652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188	Деталь 36	0	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
189	Деталь 37	0	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
190	Деталь 38	0	0	0	0	0	2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	Деталь 39	0	0	0	0	0	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192	Деталь 40	0	0	0	0	0	2842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193	Деталь 41	0	0	0	0	0	3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	Деталь 42	0	0	0	0	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195	Деталь 43	0	0	0	0	0	3780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196	Деталь 44	0	0	0	0	0	4134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197	Деталь 45	0	0	0	0	0	4510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198	Деталь 46	0	0	0	0	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
199	Деталь 47	0	0	0	0	0	5330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	Деталь 48	0	0	0	0	0	5775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	Деталь 49	0	0	0	0	0	6244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	Деталь 50	0	0	0	0	0	6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	Деталь 51	0	0	0	0	0	7260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	Деталь 52	0	0	0	0	0	7806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205	Деталь 53	0	0	0	0	0	8380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206	Деталь 54	0	0	0	0	0	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	Деталь 55	0	0	0	0	0	9612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	Деталь 56	0	0	0	0	0	10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209	Деталь 57	0	0	0	0	0	10959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	Деталь 58	0	0	0	0	0	11679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211	Деталь 59	0	0	0	0	0	12429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212	Деталь 60	0	0	0	0	0	13210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
