//±аєЕЈЁµАѕЯidЈ©	µАѕЯГы	ѕ«Б¶МШР§±нПЦАаРН1   ЈЁ№Ґ»чПµЈ©	ѕ«Б¶МШР§±нПЦАаРН2   (Defensive Series)	ѕ«Б¶МШР§±нПЦАаРН3   (Poison Series)	ѕ«Б¶МШР§±нПЦАаРН4   (ФцТжЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН5   ЈЁ№Ґ»чПµЈ«·АУщПµЈ©	ѕ«Б¶МШР§±нПЦАаРН6      ЈЁ№Ґ»чПµЈ«¶ѕё±ЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН7   ЈЁ№Ґ»чПµЈ«ФцТжЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН8   ЈЁ·АУщ+¶ѕЈ©	ѕ«Б¶МШР§±нПЦАаРН9   ЈЁ·АУщ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН10   ЈЁ¶ѕ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН11   ЈЁ№Ґ»ч+·АУщ+¶ѕЈ©	ѕ«Б¶МШР§±нПЦАаРН12   ЈЁ№Ґ»ч+·АУщ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН13   ЈЁ№Ґ»ч+¶ѕ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН14   ЈЁ·АУщ+¶ѕ+ФцТжЈ©	Lance's forging base effect value	їЁОчЛ№ѕ«Б·Р§№ы»щЧјЦµ	·ЖАы¶ыѕ«Б·Р§№ы»щЧјЦµ	°¬ГЧѕ«Б·Р§№ы»щЧјЦµ
1413	Стальной пистолет	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1414	Призрачный мушкет	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1418	Кометный шип	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1419	Клинок мучений	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1420	Шип ядовитой души	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1421	Зуб фурии	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1425	Кварцевый кинжал	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1426	Кинжал кошмара	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1430	Жезл святости	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1431	Хищная палочка	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1432	Посох грома	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1433	Жезл воодушевления	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1437	Связывающийся посох	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1438	Посох бешенства	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1439	Посох ярости	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1440	Элегантный посох	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1441	Посох Гайи	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1442	Слезы ангела	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1446	Шип притворства	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1447	Пиратский кинжал	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1448	Крис повелителя	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1449	Проясняющий кинжал	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1460	Кинжал с самоцветами	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1461	Проклятый кинжал	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1465	Сияющая палочка	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1466	Жезл энергии	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1467	Посох защитника	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1468	Посох верховного жреца	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1472	Посох стремления	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1473	Посох пламени	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1474	Посох солнца	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1475	Духовный посох	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1476	Посох связывания	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1477	Око скорби	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1892	Большой меч заклинаний (земля)	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1893	Рык исчезновения с печатью огня	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1894	Правосудие потаенного (печать льда)	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1895	Клинок заклинаний (печать земли)	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1896	Танец исчезновения (печать огня)	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1897	Клинок потаенного с печатью льда	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1903	Поцелуй проклятого (печать земли)	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1904	Меха исчезновения (печать огня)	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1905	Аркебуз потаенного (печать льда)	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1907	Посох заклинаний с печатью земли	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1908	Посох исчезновения (печать огня)	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1909	Посох потаенного с печатью льда	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1914	Посох каббалы с печатью земли	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1915	Посох миражей с печатью огня	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1916	Посох сфинкса с печатью льда	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
1921	Зуб проклятого с печатью земли	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1922	Зуб исчезновения с печатью огня	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1923	Крис сфинкса с печатью льда	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2303	Serpentine Sword of Wraith	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
2304	Dazzling Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
2305	Serpentine Sword of Wraith	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
2306	Sacro Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
2314	Criss Sword of Wraith	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2315	Paladin Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2316	Bone Sword of Wraith	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2317	Thunder Blade	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2318	Onyx Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2319	Rebel Sword of Wraith	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2320	Charging Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2321	Crescent Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
2322	Delusion Sword of Wraith	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
2338	Exquisite Pistol of Wraith	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2339	Exquisite Rifle	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2340	Laser Gun of Wraith	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2341	Venom Gun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2342	Firegun of Sol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2343	Token Pistol of Wraith	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2344	Gattling Firegun of Wraith	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2375	Moon Kris of Wraith	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2376	Hyena Dagger	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2377	Dagger of Hydra	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2378	Trident of Poseidon	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2382	Crystalline Kris of Wraith	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2383	Vampiric Kris of Wraith	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2399	Graceful Wand of Wraith	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
2400	Beastly Wand of Wraith	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
2401	Thundorian Staff	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
2402	Staff of Life	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
2406	Battle Stave of Wraith	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
2407	Lotus Staff of Wraith	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
3799	Меч бури	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
3800	Сикстинский шип	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
3801	Меч Кайлин	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
3802	Меч яркого пламени	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
3803	Рык Гэллона	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
3804	Большой меч черепахи	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
3806	Пламенный пистолет	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
3807	Винтовка Дарвина	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
3808	Винтовка белого тигра	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
3810	Печать замерзшего полумесяца	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
3811	Посох ундины	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
3812	Посох павлина	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
3813	Знак славы	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
3814	Посох надежды	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
3815	Посох Феникса	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
3817	Клинок бури	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
3818	Шип безнадежности	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
3819	Клинок зеленого дракона	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
4197	Пламя севера	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4198	Духовный источник	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4199	Обжигающий холод	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4200	Гармония душ	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4201	Коготь адского дракона	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4202	Глаз священного дракона	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4203	Божество пламени	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4204	Золото слез	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4205	Божество огня	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4206	Божество упрека	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4207	Божество зрения	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4208	Божество ярости	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4209	Рык бурной ярости	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
4210	Душа зверя	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
4211	Кометный фуксин	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
4212	Тлеющий отпечаток	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
4213	Стремительная молния	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
4214	Гремучая змея	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
4215	Змеиное резонирующее оружие	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
4216	Зуб затмения	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
4217	Громовой зуб	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
4218	Кинжал сущности	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
4300	Посох наказания	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4301	Посох разума	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4302	Страж природы	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4303	Святое писание	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4304	Посох наказания	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4305	Посох разума	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4306	Страж природы	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
4307	Святое писание	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5001	Меч лазурного пламени	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
5002	Меч малинового пламени	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5003	Меч лазурного грома	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5004	Меч малинового грома	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5005	Меч августовского пламени	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5006	Меч августовского грома	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5007	Меч насильственного пламени	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
5008	Меч насильственного грома	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5009	Нож Барбороссы	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5010	Вилка Барбороссы	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5011	Меч мертвеца	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5012	Большой молот Зеста	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5013	Большой молот Хона	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5014	Большой меч Зеста	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5015	Большой меч Хоная	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5016	Большой меч мертвеца	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
